generated_id,seed_no,variant_index,reference,original_expression,generated_expression,generation_type,distinct_operands_renamed
1,1,1,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V01O01 [] X001V01O02 [] X001V01O03)3/{#LEN==3},operand-renamed_same-structure,3
2,1,2,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V02O01 [] X001V02O02 [] X001V02O03)3/{#LEN==3},operand-renamed_same-structure,3
3,1,3,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V03O01 [] X001V03O02 [] X001V03O03)3/{#LEN==3},operand-renamed_same-structure,3
4,1,4,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V04O01 [] X001V04O02 [] X001V04O03)3/{#LEN==3},operand-renamed_same-structure,3
5,1,5,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V05O01 [] X001V05O02 [] X001V05O03)3/{#LEN==3},operand-renamed_same-structure,3
6,1,6,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V06O01 [] X001V06O02 [] X001V06O03)3/{#LEN==3},operand-renamed_same-structure,3
7,1,7,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V07O01 [] X001V07O02 [] X001V07O03)3/{#LEN==3},operand-renamed_same-structure,3
8,1,8,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V08O01 [] X001V08O02 [] X001V08O03)3/{#LEN==3},operand-renamed_same-structure,3
9,1,9,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V09O01 [] X001V09O02 [] X001V09O03)3/{#LEN==3},operand-renamed_same-structure,3
10,1,10,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V10O01 [] X001V10O02 [] X001V10O03)3/{#LEN==3},operand-renamed_same-structure,3
11,1,11,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V11O01 [] X001V11O02 [] X001V11O03)3/{#LEN==3},operand-renamed_same-structure,3
12,1,12,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V12O01 [] X001V12O02 [] X001V12O03)3/{#LEN==3},operand-renamed_same-structure,3
13,1,13,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V13O01 [] X001V13O02 [] X001V13O03)3/{#LEN==3},operand-renamed_same-structure,3
14,1,14,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V14O01 [] X001V14O02 [] X001V14O03)3/{#LEN==3},operand-renamed_same-structure,3
15,1,15,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V15O01 [] X001V15O02 [] X001V15O03)3/{#LEN==3},operand-renamed_same-structure,3
16,1,16,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V16O01 [] X001V16O02 [] X001V16O03)3/{#LEN==3},operand-renamed_same-structure,3
17,1,17,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V17O01 [] X001V17O02 [] X001V17O03)3/{#LEN==3},operand-renamed_same-structure,3
18,1,18,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V18O01 [] X001V18O02 [] X001V18O03)3/{#LEN==3},operand-renamed_same-structure,3
19,1,19,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V19O01 [] X001V19O02 [] X001V19O03)3/{#LEN==3},operand-renamed_same-structure,3
20,1,20,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V20O01 [] X001V20O02 [] X001V20O03)3/{#LEN==3},operand-renamed_same-structure,3
21,1,21,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V21O01 [] X001V21O02 [] X001V21O03)3/{#LEN==3},operand-renamed_same-structure,3
22,1,22,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V22O01 [] X001V22O02 [] X001V22O03)3/{#LEN==3},operand-renamed_same-structure,3
23,1,23,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V23O01 [] X001V23O02 [] X001V23O03)3/{#LEN==3},operand-renamed_same-structure,3
24,1,24,2021-Transition algebra,(A1 [] A2 [] A3)3/{#LEN==3},(X001V24O01 [] X001V24O02 [] X001V24O03)3/{#LEN==3},operand-renamed_same-structure,3
25,2,1,,a||b||c,X002V01O01||X002V01O02||X002V01O03,operand-renamed_same-structure,3
26,2,2,,a||b||c,X002V02O01||X002V02O02||X002V02O03,operand-renamed_same-structure,3
27,2,3,,a||b||c,X002V03O01||X002V03O02||X002V03O03,operand-renamed_same-structure,3
28,2,4,,a||b||c,X002V04O01||X002V04O02||X002V04O03,operand-renamed_same-structure,3
29,2,5,,a||b||c,X002V05O01||X002V05O02||X002V05O03,operand-renamed_same-structure,3
30,2,6,,a||b||c,X002V06O01||X002V06O02||X002V06O03,operand-renamed_same-structure,3
31,2,7,,a||b||c,X002V07O01||X002V07O02||X002V07O03,operand-renamed_same-structure,3
32,2,8,,a||b||c,X002V08O01||X002V08O02||X002V08O03,operand-renamed_same-structure,3
33,2,9,,a||b||c,X002V09O01||X002V09O02||X002V09O03,operand-renamed_same-structure,3
34,2,10,,a||b||c,X002V10O01||X002V10O02||X002V10O03,operand-renamed_same-structure,3
35,2,11,,a||b||c,X002V11O01||X002V11O02||X002V11O03,operand-renamed_same-structure,3
36,2,12,,a||b||c,X002V12O01||X002V12O02||X002V12O03,operand-renamed_same-structure,3
37,2,13,,a||b||c,X002V13O01||X002V13O02||X002V13O03,operand-renamed_same-structure,3
38,2,14,,a||b||c,X002V14O01||X002V14O02||X002V14O03,operand-renamed_same-structure,3
39,2,15,,a||b||c,X002V15O01||X002V15O02||X002V15O03,operand-renamed_same-structure,3
40,2,16,,a||b||c,X002V16O01||X002V16O02||X002V16O03,operand-renamed_same-structure,3
41,2,17,,a||b||c,X002V17O01||X002V17O02||X002V17O03,operand-renamed_same-structure,3
42,2,18,,a||b||c,X002V18O01||X002V18O02||X002V18O03,operand-renamed_same-structure,3
43,2,19,,a||b||c,X002V19O01||X002V19O02||X002V19O03,operand-renamed_same-structure,3
44,2,20,,a||b||c,X002V20O01||X002V20O02||X002V20O03,operand-renamed_same-structure,3
45,2,21,,a||b||c,X002V21O01||X002V21O02||X002V21O03,operand-renamed_same-structure,3
46,2,22,,a||b||c,X002V22O01||X002V22O02||X002V22O03,operand-renamed_same-structure,3
47,2,23,,a||b||c,X002V23O01||X002V23O02||X002V23O03,operand-renamed_same-structure,3
48,3,1,,abc(de)5fg(hij!)5k,X003V01O01(X003V01O02)5X003V01O03(X003V01O04!)5X003V01O05,operand-renamed_same-structure,5
49,3,2,,abc(de)5fg(hij!)5k,X003V02O01(X003V02O02)5X003V02O03(X003V02O04!)5X003V02O05,operand-renamed_same-structure,5
50,3,3,,abc(de)5fg(hij!)5k,X003V03O01(X003V03O02)5X003V03O03(X003V03O04!)5X003V03O05,operand-renamed_same-structure,5
51,3,4,,abc(de)5fg(hij!)5k,X003V04O01(X003V04O02)5X003V04O03(X003V04O04!)5X003V04O05,operand-renamed_same-structure,5
52,3,5,,abc(de)5fg(hij!)5k,X003V05O01(X003V05O02)5X003V05O03(X003V05O04!)5X003V05O05,operand-renamed_same-structure,5
53,3,6,,abc(de)5fg(hij!)5k,X003V06O01(X003V06O02)5X003V06O03(X003V06O04!)5X003V06O05,operand-renamed_same-structure,5
54,3,7,,abc(de)5fg(hij!)5k,X003V07O01(X003V07O02)5X003V07O03(X003V07O04!)5X003V07O05,operand-renamed_same-structure,5
55,3,8,,abc(de)5fg(hij!)5k,X003V08O01(X003V08O02)5X003V08O03(X003V08O04!)5X003V08O05,operand-renamed_same-structure,5
56,3,9,,abc(de)5fg(hij!)5k,X003V09O01(X003V09O02)5X003V09O03(X003V09O04!)5X003V09O05,operand-renamed_same-structure,5
57,3,10,,abc(de)5fg(hij!)5k,X003V10O01(X003V10O02)5X003V10O03(X003V10O04!)5X003V10O05,operand-renamed_same-structure,5
58,3,11,,abc(de)5fg(hij!)5k,X003V11O01(X003V11O02)5X003V11O03(X003V11O04!)5X003V11O05,operand-renamed_same-structure,5
59,3,12,,abc(de)5fg(hij!)5k,X003V12O01(X003V12O02)5X003V12O03(X003V12O04!)5X003V12O05,operand-renamed_same-structure,5
60,3,13,,abc(de)5fg(hij!)5k,X003V13O01(X003V13O02)5X003V13O03(X003V13O04!)5X003V13O05,operand-renamed_same-structure,5
61,3,14,,abc(de)5fg(hij!)5k,X003V14O01(X003V14O02)5X003V14O03(X003V14O04!)5X003V14O05,operand-renamed_same-structure,5
62,3,15,,abc(de)5fg(hij!)5k,X003V15O01(X003V15O02)5X003V15O03(X003V15O04!)5X003V15O05,operand-renamed_same-structure,5
63,3,16,,abc(de)5fg(hij!)5k,X003V16O01(X003V16O02)5X003V16O03(X003V16O04!)5X003V16O05,operand-renamed_same-structure,5
64,3,17,,abc(de)5fg(hij!)5k,X003V17O01(X003V17O02)5X003V17O03(X003V17O04!)5X003V17O05,operand-renamed_same-structure,5
65,3,18,,abc(de)5fg(hij!)5k,X003V18O01(X003V18O02)5X003V18O03(X003V18O04!)5X003V18O05,operand-renamed_same-structure,5
66,3,19,,abc(de)5fg(hij!)5k,X003V19O01(X003V19O02)5X003V19O03(X003V19O04!)5X003V19O05,operand-renamed_same-structure,5
67,3,20,,abc(de)5fg(hij!)5k,X003V20O01(X003V20O02)5X003V20O03(X003V20O04!)5X003V20O05,operand-renamed_same-structure,5
68,3,21,,abc(de)5fg(hij!)5k,X003V21O01(X003V21O02)5X003V21O03(X003V21O04!)5X003V21O05,operand-renamed_same-structure,5
69,3,22,,abc(de)5fg(hij!)5k,X003V22O01(X003V22O02)5X003V22O03(X003V22O04!)5X003V22O05,operand-renamed_same-structure,5
70,3,23,,abc(de)5fg(hij!)5k,X003V23O01(X003V23O02)5X003V23O03(X003V23O04!)5X003V23O05,operand-renamed_same-structure,5
71,3,24,,abc(de)5fg(hij!)5k,X003V24O01(X003V24O02)5X003V24O03(X003V24O04!)5X003V24O05,operand-renamed_same-structure,5
72,4,1,,(abcedfhi|agi)/{+b+d+},(X004V01O01|X004V01O02)/{+b+d+},operand-renamed_same-structure,2
73,4,2,,(abcedfhi|agi)/{+b+d+},(X004V02O01|X004V02O02)/{+b+d+},operand-renamed_same-structure,2
74,4,3,,(abcedfhi|agi)/{+b+d+},(X004V03O01|X004V03O02)/{+b+d+},operand-renamed_same-structure,2
75,4,4,,(abcedfhi|agi)/{+b+d+},(X004V04O01|X004V04O02)/{+b+d+},operand-renamed_same-structure,2
76,4,5,,(abcedfhi|agi)/{+b+d+},(X004V05O01|X004V05O02)/{+b+d+},operand-renamed_same-structure,2
77,4,6,,(abcedfhi|agi)/{+b+d+},(X004V06O01|X004V06O02)/{+b+d+},operand-renamed_same-structure,2
78,4,7,,(abcedfhi|agi)/{+b+d+},(X004V07O01|X004V07O02)/{+b+d+},operand-renamed_same-structure,2
79,4,8,,(abcedfhi|agi)/{+b+d+},(X004V08O01|X004V08O02)/{+b+d+},operand-renamed_same-structure,2
80,4,9,,(abcedfhi|agi)/{+b+d+},(X004V09O01|X004V09O02)/{+b+d+},operand-renamed_same-structure,2
81,4,10,,(abcedfhi|agi)/{+b+d+},(X004V10O01|X004V10O02)/{+b+d+},operand-renamed_same-structure,2
82,4,11,,(abcedfhi|agi)/{+b+d+},(X004V11O01|X004V11O02)/{+b+d+},operand-renamed_same-structure,2
83,4,12,,(abcedfhi|agi)/{+b+d+},(X004V12O01|X004V12O02)/{+b+d+},operand-renamed_same-structure,2
84,4,13,,(abcedfhi|agi)/{+b+d+},(X004V13O01|X004V13O02)/{+b+d+},operand-renamed_same-structure,2
85,4,14,,(abcedfhi|agi)/{+b+d+},(X004V14O01|X004V14O02)/{+b+d+},operand-renamed_same-structure,2
86,4,15,,(abcedfhi|agi)/{+b+d+},(X004V15O01|X004V15O02)/{+b+d+},operand-renamed_same-structure,2
87,4,16,,(abcedfhi|agi)/{+b+d+},(X004V16O01|X004V16O02)/{+b+d+},operand-renamed_same-structure,2
88,4,17,,(abcedfhi|agi)/{+b+d+},(X004V17O01|X004V17O02)/{+b+d+},operand-renamed_same-structure,2
89,4,18,,(abcedfhi|agi)/{+b+d+},(X004V18O01|X004V18O02)/{+b+d+},operand-renamed_same-structure,2
90,4,19,,(abcedfhi|agi)/{+b+d+},(X004V19O01|X004V19O02)/{+b+d+},operand-renamed_same-structure,2
91,4,20,,(abcedfhi|agi)/{+b+d+},(X004V20O01|X004V20O02)/{+b+d+},operand-renamed_same-structure,2
92,4,21,,(abcedfhi|agi)/{+b+d+},(X004V21O01|X004V21O02)/{+b+d+},operand-renamed_same-structure,2
93,4,22,,(abcedfhi|agi)/{+b+d+},(X004V22O01|X004V22O02)/{+b+d+},operand-renamed_same-structure,2
94,4,23,,(abcedfhi|agi)/{+b+d+},(X004V23O01|X004V23O02)/{+b+d+},operand-renamed_same-structure,2
95,5,1,,(C*F*)*|(F*C*)*,(X005V01O01*X005V01O02*)*|(X005V01O02*X005V01O01*)*,operand-renamed_same-structure,2
96,5,2,,(C*F*)*|(F*C*)*,(X005V02O01*X005V02O02*)*|(X005V02O02*X005V02O01*)*,operand-renamed_same-structure,2
97,5,3,,(C*F*)*|(F*C*)*,(X005V03O01*X005V03O02*)*|(X005V03O02*X005V03O01*)*,operand-renamed_same-structure,2
98,5,4,,(C*F*)*|(F*C*)*,(X005V04O01*X005V04O02*)*|(X005V04O02*X005V04O01*)*,operand-renamed_same-structure,2
99,5,5,,(C*F*)*|(F*C*)*,(X005V05O01*X005V05O02*)*|(X005V05O02*X005V05O01*)*,operand-renamed_same-structure,2
