batch_index,input_start,input_end,nominal_input_count,batch_comparable_count,batch_excluded_count,batch_new_structural_keys,batch_reuse_hits,batch_reuse_hit_rate_pct,repository_size_after_batch,cumulative_input_count,cumulative_comparable_count,cumulative_excluded_count,cumulative_reuse_hits,cumulative_reuse_misses,cumulative_reuse_hit_rate_pct,measured_repetitions,ntable_fresh_batch_median_ms,ntable_fresh_cumulative_median_ms,ntable_fresh_batch_mean_ms,ntable_fresh_cumulative_mean_ms,ntable_fresh_batch_stdev_ms,ntable_fresh_cumulative_stdev_ms,ntable_fresh_batch_min_ms,ntable_fresh_cumulative_min_ms,ntable_fresh_batch_max_ms,ntable_fresh_cumulative_max_ms,ntable_fresh_batch_median_us_per_expression,ntable_fresh_cumulative_median_us_per_expression,ntable_shared_reuse_batch_median_ms,ntable_shared_reuse_cumulative_median_ms,ntable_shared_reuse_batch_mean_ms,ntable_shared_reuse_cumulative_mean_ms,ntable_shared_reuse_batch_stdev_ms,ntable_shared_reuse_cumulative_stdev_ms,ntable_shared_reuse_batch_min_ms,ntable_shared_reuse_cumulative_min_ms,ntable_shared_reuse_batch_max_ms,ntable_shared_reuse_cumulative_max_ms,ntable_shared_reuse_batch_median_us_per_expression,ntable_shared_reuse_cumulative_median_us_per_expression,pratt_batch_median_ms,pratt_cumulative_median_ms,pratt_batch_mean_ms,pratt_cumulative_mean_ms,pratt_batch_stdev_ms,pratt_cumulative_stdev_ms,pratt_batch_min_ms,pratt_cumulative_min_ms,pratt_batch_max_ms,pratt_cumulative_max_ms,pratt_batch_median_us_per_expression,pratt_cumulative_median_us_per_expression,shared_reuse_batch_reduction_vs_fresh_pct,fresh_over_shared_reuse_batch_speedup_x,shared_reuse_vs_pratt_batch_ratio_x,shared_reuse_batch_faster_than_pratt,shared_reuse_batch_speedup_over_pratt_x,shared_reuse_batch_diff_vs_pratt_pct,shared_reuse_cumulative_reduction_vs_fresh_pct,fresh_over_shared_reuse_cumulative_speedup_x,shared_reuse_vs_pratt_cumulative_ratio_x,shared_reuse_cumulative_faster_than_pratt,shared_reuse_cumulative_speedup_over_pratt_x,shared_reuse_cumulative_diff_vs_pratt_pct
1,1,200,200,195,5,57,138,70.76923076923077,57,200,195,5,138,57,70.76923076923077,10,11.865231999999999,11.865231999999999,11.8470739,11.8470739,0.21093551897437493,0.21093551897437493,11.542486,11.542486,12.210302,12.210302,60.84734358974358,60.84734358974358,9.054631,9.054631,9.0776288,9.0776288,0.1413888419303304,0.1413888419303304,8.892658,8.892658,9.392099,9.392099,46.434005128205136,46.434005128205136,6.8794915,6.8794915,6.8813475,6.8813475,0.13436269443500054,0.13436269443500054,6.661759,6.661759,7.064806,7.064806,35.27944358974359,35.27944358974359,23.687703704402907,1.3104048083240496,1.3161773657253593,0,0.7597760195859997,31.617736572535925,23.687703704402907,1.3104048083240496,1.3161773657253593,0,0.7597760195859997,31.617736572535925
2,201,400,200,196,4,8,188,95.91836734693878,65,400,391,9,326,65,83.37595907928389,10,10.2793955,22.079629,10.352381,22.1994549,0.3715772047663853,0.3838604335679694,9.93674,21.666687,11.152259,22.884371,52.44589540816327,56.46963938618926,5.9381889999999995,14.9584735,6.0222571,15.0998859,0.22076516767393362,0.29511941738837805,5.822195,14.738889,6.499475,15.564902,30.29688265306122,38.25696547314578,5.966587499999999,12.9369705,6.1644623,13.0458098,0.5683668160786168,0.5917428914469147,5.796947,12.458706,7.684568,14.573267999999999,30.441772959183673,33.086881074168794,42.23211861047667,1.731065734014192,0.9952404117093733,1,1.00478235030916,-0.4759588290626726,32.252151972299906,1.4760616449265362,1.1562578348617245,0,0.8648590044966821,15.625783486172452
3,401,600,200,197,3,2,195,98.98477157360406,67,600,588,12,521,67,88.60544217687075,10,10.246941499999998,32.546362,10.2942006,32.4936555,0.24336573905416065,0.5168254979258268,9.976209,31.717838,10.597535,33.404779000000005,52.014931472081216,55.35095578231293,5.422464,20.584895500000002,5.5250639,20.6249498,0.24904233363803388,0.399718639117234,5.312268,20.116855,6.149618,21.184552,27.525197969543147,35.008325680272115,5.889807,18.849753,6.0669344,19.1127442,0.3220980922487227,0.5742547651322238,5.815064,18.650147,6.829632,20.436875999999998,29.897497461928932,32.05740306122449,47.08212201660368,1.889720521888204,0.9206522386896547,1,1.0861864643084769,-7.934776131034527,36.75208461086987,1.5810797776457013,1.092051206188219,0,0.9157079762683273,9.205120618821905
4,601,800,200,195,5,0,195,100.0,67,800,783,17,716,67,91.44316730523627,10,10.422696,42.840650499999995,10.4054441,42.8990996,0.22214401122017444,0.6057338010048825,10.073215,41.923632,10.719939,43.816184,53.44972307692308,54.71347445721583,5.5586585,26.187455,5.5455286,26.1704784,0.21849405987613385,0.4657007561982264,5.298887,25.432397,5.955957,26.868077,28.50594102564102,33.445025542784165,6.0970635,24.889781,6.0645919,25.1773361,0.11958470561670209,0.6044361128753626,5.88495,24.624010000000002,6.24435,26.529087,31.26699230769231,31.787715197956576,46.667747960796326,1.8750380150174724,0.9116943754973194,1,1.096858801453624,-8.830562450268065,38.87241511423828,1.6359226392942725,1.052136818720904,0,0.950446731077915,5.213681872090392
5,801,1000,200,195,5,0,195,100.0,67,1000,978,22,911,67,93.14928425357873,10,11.8670755,54.881542499999995,11.892725200000001,54.7918248,0.22620811947398245,0.6450891906837893,11.567805,53.491437,12.269582,55.772003,60.85679743589744,56.116096625766865,6.024934999999999,32.2398915,6.0549333999999995,32.225411799999996,0.07014035828283505,0.46553219307292626,5.9786,31.410997000000002,6.172182,32.947119,30.89710256410256,32.96512423312883,6.862526,31.788325999999998,6.8740074,32.0513435,0.10492992769378152,0.5499701706638787,6.757122,31.5118,7.102552,33.286209,35.192441025641024,32.50340081799591,49.22982498931604,1.9696603365845444,0.8779471290892011,1,1.139020752920986,-12.205287091079885,41.255493137788534,1.7022868237630389,1.0142053878521318,0,0.9859935787935267,1.4205387852131768
6,1001,1200,200,193,7,0,193,100.0,67,1200,1171,29,1104,67,94.27839453458583,10,10.8520365,65.617841,10.9408677,65.7326925,0.3426738180544453,0.8480835734115477,10.513277,64.509725,11.565361,67.172055,56.22816839378238,56.03573099914603,5.5716535,37.8129145,5.5796619,37.8050737,0.10278874978696194,0.4562292626103794,5.471307,37.071539,5.81266,38.525547,28.86867098445596,32.291131084543125,6.226879,38.142185999999995,6.2541594,38.3055029,0.12380303493695147,0.5070249833996676,6.088556,37.724903,6.430822,39.374765,32.26362176165803,32.5723193851409,48.657991520762025,1.9477227900119776,0.8947746535624026,1,1.1175998292068952,-10.522534643759741,42.37403437275542,1.7353288385109802,0.9913672619602873,1,1.008707911155592,-0.8632738039712651
7,1201,1400,200,195,5,0,195,100.0,67,1400,1366,34,1299,67,95.09516837481698,10,10.013374500000001,75.6312155,10.0216048,75.7542973,0.12806314354498022,0.8679182240815675,9.866673,74.495718,10.333897,77.038728,51.35063846153847,55.36692203513908,5.2169740000000004,43.062252,5.2441258,43.0491995,0.05877038831059207,0.4500082055501871,5.182462,42.254001,5.371397,43.799586,26.75371282051282,31.524342606149343,5.8087545,43.9388825,5.8542012,44.1597041,0.12671476470561746,0.6190196989914246,5.757266,43.504764,6.155367,45.530132,29.788484615384615,32.16609260614934,47.89994122361049,1.919383631200769,0.8981226526271683,1,1.113433668636263,-10.187734737283172,43.0628587477878,1.756322811449805,0.9800488667412058,1,1.0203572841476103,-1.9951133258794163
8,1401,1600,200,198,2,0,198,100.0,67,1600,1564,36,1497,67,95.71611253196932,10,10.568500499999999,86.084486,10.6006327,86.35493,0.22911167233471774,0.9019754387970405,10.300577,85.301295,10.956614,87.88862,53.37626515151514,55.041231457800514,5.4915579999999995,48.6325605,5.5072081,48.5564076,0.11259634926433242,0.5043868074418453,5.349293,47.603294000000005,5.718069,49.373097,27.73514141414141,31.09498753196931,6.073994,50.084049500000006,6.0802465,50.2399506,0.0739459704938531,0.5907016002583889,5.98468,49.61358,6.218562,51.531968,30.67673737373737,32.023049552429676,48.038437430172806,1.9244994771975457,0.9041098822290571,1,1.1060602473833474,-9.589011777094292,43.50601047905427,1.7700998079260089,0.9710189368772985,1,1.029846032885725,-2.8981063122701545
9,1601,1800,200,195,5,0,195,100.0,67,1800,1759,41,1692,67,96.1910176236498,10,9.1542265,95.26195150000001,9.174598,95.529528,0.19852966828775087,0.9964211319663547,8.938496,94.428267,9.533342,97.167742,46.944751282051286,54.15687976122798,4.923552,53.533783,4.9395182,53.4959258,0.08667097799122574,0.5102584910378033,4.850672,52.473296000000005,5.145777,54.292553,25.248984615384614,30.434214326321776,5.401617,55.514956,5.4087777,55.6487283,0.0961971738485884,0.5633004647288952,5.279919,55.059078,5.61321,56.811887,27.7006,31.560520750426377,46.21553224622529,1.8592728379836345,0.9114959464915784,1,1.0970975832082204,-8.850405350842161,43.80360452724928,1.7794735615825994,0.9643128060841839,1,1.037007902094272,-3.5687193915816096
10,1801,2000,200,198,2,0,198,100.0,67,2000,1957,43,1890,67,96.5763924374042,10,11.258594500000001,106.45182249999999,11.290852000000001,106.82038,0.2726816750001525,0.9583774310484918,10.902063,105.50348100000001,11.65112,108.610456,56.86158838383839,54.39541262135922,5.777723,59.386281999999994,5.9993025,59.4952283,0.5170730971424641,0.7242883810512124,5.688524,58.189271000000005,7.156513,60.804289,29.180419191919192,30.345570771589163,6.411477,61.9465595,6.4313221,62.0800504,0.10518196692446853,0.6478156799516006,6.302909,61.419934,6.687608,63.499494999999996,32.381196969696965,31.653837250894224,48.681667147706584,1.9486213686602838,0.9011531976173354,1,1.1096892322459904,-9.884680238266464,44.21299644728958,1.7925321962402025,0.958669577121551,1,1.0431122712817753,-4.133042287844901
