cumulative_input_count,cumulative_comparable_count,batch_comparable_count,repository_size_after_batch,batch_reuse_hit_rate_pct,cumulative_reuse_hit_rate_pct,ntable_fresh_batch_median_ms,ntable_shared_reuse_batch_median_ms,pratt_batch_median_ms,ntable_fresh_batch_median_us_per_expression,ntable_shared_reuse_batch_median_us_per_expression,pratt_batch_median_us_per_expression,shared_reuse_batch_reduction_vs_fresh_pct,shared_reuse_batch_diff_vs_pratt_pct,shared_reuse_batch_faster_than_pratt,ntable_fresh_cumulative_median_ms,ntable_shared_reuse_cumulative_median_ms,pratt_cumulative_median_ms,shared_reuse_cumulative_reduction_vs_fresh_pct,shared_reuse_cumulative_diff_vs_pratt_pct,shared_reuse_cumulative_faster_than_pratt
200,195,195,57,70.76923076923077,70.76923076923077,11.865231999999999,9.054631,6.8794915,60.84734358974358,46.434005128205136,35.27944358974359,23.687703704402907,31.617736572535925,0,11.865231999999999,9.054631,6.8794915,23.687703704402907,31.617736572535925,0
400,391,196,65,95.91836734693878,83.37595907928389,10.2793955,5.9381889999999995,5.966587499999999,52.44589540816327,30.29688265306122,30.441772959183673,42.23211861047667,-0.4759588290626726,1,22.079629,14.9584735,12.9369705,32.252151972299906,15.625783486172452,0
600,588,197,67,98.98477157360406,88.60544217687075,10.246941499999998,5.422464,5.889807,52.014931472081216,27.525197969543147,29.897497461928932,47.08212201660368,-7.934776131034527,1,32.546362,20.584895500000002,18.849753,36.75208461086987,9.205120618821905,0
800,783,195,67,100.0,91.44316730523627,10.422696,5.5586585,6.0970635,53.44972307692308,28.50594102564102,31.26699230769231,46.667747960796326,-8.830562450268065,1,42.840650499999995,26.187455,24.889781,38.87241511423828,5.213681872090392,0
1000,978,195,67,100.0,93.14928425357873,11.8670755,6.024934999999999,6.862526,60.85679743589744,30.89710256410256,35.192441025641024,49.22982498931604,-12.205287091079885,1,54.881542499999995,32.2398915,31.788325999999998,41.255493137788534,1.4205387852131768,0
1200,1171,193,67,100.0,94.27839453458583,10.8520365,5.5716535,6.226879,56.22816839378238,28.86867098445596,32.26362176165803,48.657991520762025,-10.522534643759741,1,65.617841,37.8129145,38.142185999999995,42.37403437275542,-0.8632738039712651,1
1400,1366,195,67,100.0,95.09516837481698,10.013374500000001,5.2169740000000004,5.8087545,51.35063846153847,26.75371282051282,29.788484615384615,47.89994122361049,-10.187734737283172,1,75.6312155,43.062252,43.9388825,43.0628587477878,-1.9951133258794163,1
1600,1564,198,67,100.0,95.71611253196932,10.568500499999999,5.4915579999999995,6.073994,53.37626515151514,27.73514141414141,30.67673737373737,48.038437430172806,-9.589011777094292,1,86.084486,48.6325605,50.084049500000006,43.50601047905427,-2.8981063122701545,1
1800,1759,195,67,100.0,96.1910176236498,9.1542265,4.923552,5.401617,46.944751282051286,25.248984615384614,27.7006,46.21553224622529,-8.850405350842161,1,95.26195150000001,53.533783,55.514956,43.80360452724928,-3.5687193915816096,1
2000,1957,198,67,100.0,96.5763924374042,11.258594500000001,5.777723,6.411477,56.86158838383839,29.180419191919192,32.381196969696965,48.681667147706584,-9.884680238266464,1,106.45182249999999,59.386281999999994,61.9465595,44.21299644728958,-4.133042287844901,1
2200,2150,193,67,100.0,96.88372093023256,10.5632475,5.535819500000001,6.158787,54.73185233160621,28.683002590673578,31.910813471502593,47.59358331800897,-10.115100587177306,1,117.31866249999999,64.95963,68.168255,44.629755730466144,-4.7069196651725935,1
2400,2345,195,67,100.0,97.14285714285714,11.0073615,5.8430315,6.6196955,56.4480076923077,29.9642641025641,33.94715641025641,46.91705637177447,-11.732624257414848,1,128.326024,70.8373875,74.7765385,44.798891688563494,-5.267896962093255,1
2600,2540,195,67,100.0,97.36220472440945,9.1332395,4.9066019999999995,5.3842105,46.83712564102564,25.162061538461536,27.611335897435897,46.277528362198325,-8.87053914403979,1,137.7898465,75.870004,80.21633299999999,44.937884809966754,-5.418259396125724,1
2800,2733,193,67,100.0,97.54848152213684,9.1118325,4.806646499999999,5.366529,47.211567357512955,24.904904145077715,27.80584974093264,47.248300492793305,-10.432860793261355,1,146.90899000000002,80.6650925,85.58836550000001,45.09179288483299,-5.752268980998365,1
3000,2930,197,67,100.0,97.71331058020478,9.327617,4.9652899999999995,5.536905,47.34830964467005,25.20451776649746,28.106116751269035,46.76786150203209,-10.32372778655224,1,156.3687435,85.6303825,91.18176550000001,45.2381719112554,-6.088260048002702,1
