order_index,generated_id,seed_no,variant_index,generated_expression,error_type,error_message
9,235,10,23,X010V23O01().X010V23O02.(X010V23O02|X010V23O03|X010V23O04)*,UnsupportedStructuralFamily,ValueError: Empty parenthesized subexpression
54,232,10,20,X010V20O01().X010V20O02.(X010V20O02|X010V20O03|X010V20O04)*,UnsupportedStructuralFamily,ValueError: Empty parenthesized subexpression
66,2890,123,9,"dσ(⊕(X123V09O01, . . . , X123V09O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
77,231,10,19,X010V19O01().X010V19O02.(X010V19O02|X010V19O03|X010V19O04)*,UnsupportedStructuralFamily,ValueError: Empty parenthesized subexpression
190,2895,123,14,"dσ(⊕(X123V14O01, . . . , X123V14O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
282,2888,123,7,"dσ(⊕(X123V07O01, . . . , X123V07O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
364,218,10,6,X010V06O01().X010V06O02.(X010V06O02|X010V06O03|X010V06O04)*,UnsupportedStructuralFamily,ValueError: Empty parenthesized subexpression
365,228,10,16,X010V16O01().X010V16O02.(X010V16O02|X010V16O03|X010V16O04)*,UnsupportedStructuralFamily,ValueError: Empty parenthesized subexpression
381,2923,124,19,"⊕(dσ(X124V19O01), . . . , dσ(X124V19O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
450,223,10,11,X010V11O01().X010V11O02.(X010V11O02|X010V11O03|X010V11O04)*,UnsupportedStructuralFamily,ValueError: Empty parenthesized subexpression
457,2886,123,5,"dσ(⊕(X123V05O01, . . . , X123V05O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
495,2919,124,15,"⊕(dσ(X124V15O01), . . . , dσ(X124V15O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
661,2887,123,6,"dσ(⊕(X123V06O01, . . . , X123V06O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
720,2902,123,21,"dσ(⊕(X123V21O01, . . . , X123V21O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
721,2925,124,21,"⊕(dσ(X124V21O01), . . . , dσ(X124V21O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
750,2884,123,3,"dσ(⊕(X123V03O01, . . . , X123V03O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
800,2921,124,17,"⊕(dσ(X124V17O01), . . . , dσ(X124V17O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
903,2912,124,8,"⊕(dσ(X124V08O01), . . . , dσ(X124V08O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
910,2905,124,1,"⊕(dσ(X124V01O01), . . . , dσ(X124V01O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
915,2900,123,19,"dσ(⊕(X123V19O01, . . . , X123V19O02))",UnsupportedStructuralFamily,ValueError: Binary operator '.' lacks an operand
