repetition,batch_index,input_start,input_end,cumulative_input_count,batch_comparable_count,cumulative_comparable_count,algorithm,batch_runtime_ms
1,1,1,200,200,195,195,NTable_Fresh,11.985504
1,1,1,200,200,195,195,NTable_SharedReuse,8.892658
1,1,1,200,200,195,195,Pratt,6.661759
1,2,201,400,400,196,391,NTable_SharedReuse,5.846231
1,2,201,400,400,196,391,Pratt,5.796947
1,2,201,400,400,196,391,NTable_Fresh,9.93674
1,3,401,600,600,197,588,Pratt,6.266924
1,3,401,600,600,197,588,NTable_Fresh,10.184482
1,3,401,600,600,197,588,NTable_SharedReuse,5.377966
1,4,601,800,800,195,783,NTable_Fresh,10.719939
1,4,601,800,800,195,783,NTable_SharedReuse,5.315542
1,4,601,800,800,195,783,Pratt,5.89838
1,5,801,1000,1000,195,978,NTable_SharedReuse,5.9786
1,5,801,1000,1000,195,978,Pratt,6.88779
1,5,801,1000,1000,195,978,NTable_Fresh,11.989039
1,6,1001,1200,1200,193,1171,Pratt,6.213103
1,6,1001,1200,1200,193,1171,NTable_Fresh,10.695972
1,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.660542
1,7,1201,1400,1400,195,1366,NTable_Fresh,10.020205
1,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.182462
1,7,1201,1400,1400,195,1366,Pratt,5.779861
1,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.349293
1,8,1401,1600,1600,198,1564,Pratt,6.108816
1,8,1401,1600,1600,198,1564,NTable_Fresh,10.452446
1,9,1601,1800,1800,195,1759,Pratt,5.445498
1,9,1601,1800,1800,195,1759,NTable_Fresh,8.957395
1,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.870002
1,10,1801,2000,2000,198,1957,NTable_Fresh,11.344429
1,10,1801,2000,2000,198,1957,NTable_SharedReuse,5.715975
1,10,1801,2000,2000,198,1957,Pratt,6.360856
1,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.40689
1,11,2001,2200,2200,193,2150,Pratt,6.013602
1,11,2001,2200,2200,193,2150,NTable_Fresh,10.468891
1,12,2201,2400,2400,195,2345,Pratt,6.478514
1,12,2201,2400,2400,195,2345,NTable_Fresh,10.96664
1,12,2201,2400,2400,195,2345,NTable_SharedReuse,5.703527
1,13,2401,2600,2600,195,2540,NTable_Fresh,8.979017
1,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.755189
1,13,2401,2600,2600,195,2540,Pratt,5.238646
1,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.78259
1,14,2601,2800,2800,193,2733,Pratt,5.260679
1,14,2601,2800,2800,193,2733,NTable_Fresh,9.780354
1,15,2801,3000,3000,197,2930,Pratt,5.487832
1,15,2801,3000,3000,197,2930,NTable_Fresh,9.195884
1,15,2801,3000,3000,197,2930,NTable_SharedReuse,4.92925
2,1,1,200,200,195,195,NTable_SharedReuse,9.042102
2,1,1,200,200,195,195,Pratt,6.870283
2,1,1,200,200,195,195,NTable_Fresh,11.649838
2,2,201,400,400,196,391,Pratt,5.97861
2,2,201,400,400,196,391,NTable_Fresh,10.311554
2,2,201,400,400,196,391,NTable_SharedReuse,5.822195
2,3,401,600,600,197,588,NTable_Fresh,10.073906
2,3,401,600,600,197,588,NTable_SharedReuse,5.361241
2,3,401,600,600,197,588,Pratt,5.815064
2,4,601,800,800,195,783,NTable_SharedReuse,5.616866
2,4,601,800,800,195,783,Pratt,6.176949
2,4,601,800,800,195,783,NTable_Fresh,10.452586
2,5,801,1000,1000,195,978,Pratt,6.884023
2,5,801,1000,1000,195,978,NTable_Fresh,11.735537
2,5,801,1000,1000,195,978,NTable_SharedReuse,6.083739
2,6,1001,1200,1200,193,1171,NTable_Fresh,10.667599
2,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.81266
2,6,1001,1200,1200,193,1171,Pratt,6.357982
2,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.305046
2,7,1201,1400,1400,195,1366,Pratt,5.830778
2,7,1201,1400,1400,195,1366,NTable_Fresh,10.05683
2,8,1401,1600,1600,198,1564,Pratt,6.218562
2,8,1401,1600,1600,198,1564,NTable_Fresh,10.684555
2,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.574302
2,9,1601,1800,1800,195,1759,NTable_Fresh,9.141732
2,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.927648
2,9,1601,1800,1800,195,1759,Pratt,5.426089
2,10,1801,2000,2000,198,1957,NTable_SharedReuse,5.811959
2,10,1801,2000,2000,198,1957,Pratt,6.467567
2,10,1801,2000,2000,198,1957,NTable_Fresh,11.65112
2,11,2001,2200,2200,193,2150,Pratt,6.187185
2,11,2001,2200,2200,193,2150,NTable_Fresh,10.678436
2,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.550436
2,12,2201,2400,2400,195,2345,NTable_Fresh,10.994292
2,12,2201,2400,2400,195,2345,NTable_SharedReuse,5.824559
2,12,2201,2400,2400,195,2345,Pratt,6.459575
2,13,2401,2600,2600,195,2540,NTable_SharedReuse,5.071725
2,13,2401,2600,2600,195,2540,Pratt,5.408512
2,13,2401,2600,2600,195,2540,NTable_Fresh,9.244708
2,14,2601,2800,2800,193,2733,Pratt,5.394011
2,14,2601,2800,2800,193,2733,NTable_Fresh,8.902983
2,14,2601,2800,2800,193,2733,NTable_SharedReuse,4.805815
2,15,2801,3000,3000,197,2930,NTable_Fresh,9.224918
2,15,2801,3000,3000,197,2930,NTable_SharedReuse,4.971715
2,15,2801,3000,3000,197,2930,Pratt,5.63307
3,1,1,200,200,195,195,Pratt,6.8887
3,1,1,200,200,195,195,NTable_Fresh,11.981187
3,1,1,200,200,195,195,NTable_SharedReuse,9.016594
3,2,201,400,400,196,391,NTable_Fresh,10.082999
3,2,201,400,400,196,391,NTable_SharedReuse,5.850418
3,2,201,400,400,196,391,Pratt,7.684568
3,3,401,600,600,197,588,NTable_SharedReuse,5.654533
3,3,401,600,600,197,588,Pratt,5.863608
3,3,401,600,600,197,588,NTable_Fresh,10.566708
3,4,601,800,800,195,783,Pratt,6.092211
3,4,601,800,800,195,783,NTable_Fresh,10.462421
3,4,601,800,800,195,783,NTable_SharedReuse,5.532249
3,5,801,1000,1000,195,978,NTable_Fresh,12.036531
3,5,801,1000,1000,195,978,NTable_SharedReuse,6.002997
3,5,801,1000,1000,195,978,Pratt,6.757122
3,6,1001,1200,1200,193,1171,NTable_SharedReuse,5.505428
3,6,1001,1200,1200,193,1171,Pratt,6.088556
3,6,1001,1200,1200,193,1171,NTable_Fresh,10.950024
3,7,1201,1400,1400,195,1366,Pratt,6.155367
3,7,1201,1400,1400,195,1366,NTable_Fresh,10.050701
3,7,1201,1400,1400,195,1366,NTable_SharedReuse,5.216333
3,8,1401,1600,1600,198,1564,NTable_Fresh,10.300577
3,8,1401,1600,1600,198,1564,NTable_SharedReuse,5.42017
3,8,1401,1600,1600,198,1564,Pratt,6.001836
3,9,1601,1800,1800,195,1759,NTable_SharedReuse,4.850672
3,9,1601,1800,1800,195,1759,Pratt,5.279919
3,9,1601,1800,1800,195,1759,NTable_Fresh,8.942252
3,10,1801,2000,2000,198,1957,Pratt,6.687608
3,10,1801,2000,2000,198,1957,NTable_Fresh,11.104988
3,10,1801,2000,2000,198,1957,NTable_SharedReuse,7.156513
3,11,2001,2200,2200,193,2150,NTable_Fresh,11.363847
3,11,2001,2200,2200,193,2150,NTable_SharedReuse,5.743336
3,11,2001,2200,2200,193,2150,Pratt,6.274616
3,12,2201,2400,2400,195,2345,NTable_SharedReuse,6.215117
3,12,2201,2400,2400,195,2345,Pratt,6.713847
3,12,2201,2400,2400,195,2345,NTable_Fresh,11.509236
3,13,2401,2600,2600,195,2540,Pratt,5.415683
3,13,2401,2600,2600,195,2540,NTable_Fresh,9.057195
3,13,2401,2600,2600,195,2540,NTable_SharedReuse,4.792195
